FirstName,LastName,BirthDate,Gender,EmailAddress,YearlyIncome,EnglishEducation,Phone
Hailey,Ward,1959-03-31,F,hailey12@adventure-works.com,70000,Graduate Degree,767-555-0151
Luke,Allen,1959-05-17,M,luke52@adventure-works.com,60000,Graduate Degree,786-555-0133
Victoria,Russell,1963-09-14,F,victoria66@adventure-works.com,40000,Partial College,663-555-0197
Jessica,Wilson,1958-04-25,F,jessica54@adventure-works.com,40000,Partial College,702-555-0180
Jade,Bailey,1948-04-23,F,jade13@adventure-works.com,70000,Graduate Degree,819-555-0160
Morgan,Hill,1942-12-24,F,morgan19@adventure-works.com,80000,Graduate Degree,510-555-0120
Jose,Patterson,1943-12-18,M,jose33@adventure-works.com,120000,Graduate Degree,768-555-0153
Jaime,Moreno,1945-09-01,M,jaime48@adventure-works.com,90000,Bachelors,457-555-0178
Julian,Griffin,1945-06-30,M,julian20@adventure-works.com,90000,Bachelors,636-555-0197
Andy,Alvarez,1946-01-22,M,andy9@adventure-works.com,90000,Bachelors,367-555-0172
Ryan,Thompson,1945-11-10,M,ryan38@adventure-works.com,110000,Graduate Degree,138-555-0142
Samantha,Jenkins,1974-01-03,F,samantha32@adventure-works.com,90000,Partial College,936-555-0152
Deanna,Ramos,1968-04-02,F,deanna44@adventure-works.com,10000,Graduate Degree,1 (11) 500 555-0138
Nicole,Brown,1966-09-19,F,nicole4@adventure-works.com,10000,Bachelors,1 (11) 500 555-0187
Shaun,Raji,1973-03-08,M,shaun21@adventure-works.com,20000,Graduate Degree,1 (11) 500 555-0122
Frank,Navarro,1972-08-06,M,frank17@adventure-works.com,20000,Graduate Degree,1 (11) 500 555-0139
Dennis,She,1967-01-05,M,dennis25@adventure-works.com,20000,Graduate Degree,1 (11) 500 555-0141
Randy,Zeng,1942-02-18,M,randy24@adventure-works.com,20000,Graduate Degree,1 (11) 500 555-0144
Jessie,Jimenez,1963-01-21,F,jessie3@adventure-works.com,10000,Partial College,1 (11) 500 555-0193
Robin,Ramos,1962-09-09,F,robin13@adventure-works.com,10000,Partial College,1 (11) 500 555-0111
Deanna,Gutierrez,1966-05-18,F,deanna37@adventure-works.com,10000,Partial College,1 (11) 500 555-0112
Roy,Navarro,1972-06-17,M,roy30@adventure-works.com,10000,Partial College,1 (11) 500 555-0137
Cara,Zhou,1942-07-14,F,cara5@adventure-works.com,30000,Graduate Degree,1 (11) 500 555-0118
Raymond,Rodriguez,1945-09-04,M,raymond20@adventure-works.com,10000,Partial College,1 (11) 500 555-0131
Carrie,Ortega,1946-12-09,F,carrie19@adventure-works.com,30000,Bachelors,1 (11) 500 555-0111
Roberto,Gutierrez,1948-06-26,M,roberto11@adventure-works.com,40000,Graduate Degree,1 (11) 500 555-0124
Ramon,Ye,1984-09-19,M,ramon9@adventure-works.com,10000,Partial College,1 (11) 500 555-0143
Jarrod,Prasad,1984-03-03,M,jarrod9@adventure-works.com,10000,Partial College,1 (11) 500 555-0154
Cindy,Ramos,1982-10-26,F,cindy22@adventure-works.com,10000,High School,1 (11) 500 555-0173
Jennifer,Collins,1985-03-22,F,jennifer6@adventure-works.com,10000,High School,1 (11) 500 555-0196
Brittney,Sun,1984-12-06,F,brittney12@adventure-works.com,10000,High School,1 (11) 500 555-0155
Virginia,Patel,1985-04-23,F,virginia4@adventure-works.com,20000,Bachelors,1 (11) 500 555-0146
Ashlee,Tang,1984-02-01,F,ashlee11@adventure-works.com,20000,Bachelors,1 (11) 500 555-0187
Lacey,Jai,1983-11-24,F,lacey1@adventure-works.com,20000,Bachelors,1 (11) 500 555-0149
Carly,Luo,1954-09-16,F,carly5@adventure-works.com,30000,Bachelors,1 (11) 500 555-0138
Francisco,Martinez,1948-11-05,M,francisco19@adventure-works.com,30000,Bachelors,1 (11) 500 555-0119
Lance,Vazquez,1948-12-07,M,lance14@adventure-works.com,40000,Graduate Degree,1 (11) 500 555-0112
David,Robinett,1966-08-23,M,david22@adventure-works.com,30000,Graduate Degree,238-555-0100
Shannon,Liang,1965-11-19,F,shannon15@adventure-works.com,10000,High School,1 (11) 500 555-0159
Mitchell,Kumar,1964-08-29,M,mitchell7@adventure-works.com,20000,Partial College,1 (11) 500 555-0119
Meredith,Raman,1970-08-18,F,meredith11@adventure-works.com,20000,Partial College,1 (11) 500 555-0162
Marie,Gill,1966-02-25,F,marie37@adventure-works.com,30000,Graduate Degree,1 (11) 500 555-0192
Tiffany,Wang,1971-10-13,F,tiffany1@adventure-works.com,30000,Bachelors,1 (11) 500 555-0192
Jaclyn,Cai,1971-11-02,F,jaclyn22@adventure-works.com,30000,Bachelors,1 (11) 500 555-0164
Joseph,Martin,1965-01-20,M,joseph21@adventure-works.com,40000,Graduate Degree,1 (11) 500 555-0143
Christine,Raji,1976-04-17,F,christine16@adventure-works.com,10000,High School,1 (11) 500 555-0153
Lindsay,Xie,1976-06-25,F,lindsay3@adventure-works.com,10000,High School,1 (11) 500 555-0115
Willie,Zhao,1981-02-03,M,willie8@adventure-works.com,10000,High School,1 (11) 500 555-0120
George,McDonald,1975-04-22,M,george13@adventure-works.com,10000,High School,1 (11) 500 555-0150
Ian,Lopez,1975-04-04,M,ian27@adventure-works.com,10000,High School,1 (11) 500 555-0182
Latoya,Shan,1974-12-02,F,latoya9@adventure-works.com,20000,Partial College,1 (11) 500 555-0122
Colin,Nath,1975-03-09,M,colin41@adventure-works.com,30000,Bachelors,1 (11) 500 555-0115
Kelli,Cai,1975-05-20,F,kelli21@adventure-works.com,40000,Graduate Degree,1 (11) 500 555-0145
Nancy,Schmidt,1980-01-06,F,nancy13@adventure-works.com,40000,Graduate Degree,1 (11) 500 555-0150
Megan,Taylor,1957-06-30,F,megan12@adventure-works.com,10000,Partial College,1 (11) 500 555-0178
Bonnie,Goel,1957-08-16,F,bonnie25@adventure-works.com,10000,Partial College,1 (11) 500 555-0143
Darren,Gill,1964-05-10,M,darren36@adventure-works.com,10000,High School,1 (11) 500 555-0166
Sydney,Bryant,1959-10-07,F,sydney40@adventure-works.com,80000,Partial College,1 (11) 500 555-0156
Ian,Richardson,1959-09-15,M,ian76@adventure-works.com,80000,Partial College,1 (11) 500 555-0119
Randy,She,1949-12-03,M,randy25@adventure-works.com,90000,Partial College,1 (11) 500 555-0141
Katrina,Becker,1950-09-16,F,katrina19@adventure-works.com,60000,Partial High School,1 (11) 500 555-0153
Rafael,Hu,1950-08-09,M,rafael20@adventure-works.com,90000,Partial College,1 (11) 500 555-0159
Kyle,Scott,1950-08-18,M,kyle43@adventure-works.com,150000,Graduate Degree,1 (11) 500 555-0178
Dustin,Deng,1952-02-29,M,dustin1@adventure-works.com,170000,Bachelors,1 (11) 500 555-0168
Jasmine,Stewart,1960-05-04,F,jasmine22@adventure-works.com,80000,Partial College,1 (11) 500 555-0165
Pamela,Garcia,1964-12-03,F,pamela18@adventure-works.com,80000,Partial College,1 (11) 500 555-0182
Ariana,Gray,1965-08-02,F,ariana5@adventure-works.com,90000,High School,1 (11) 500 555-0191
Kristopher,Mehta,1959-04-01,M,kristopher12@adventure-works.com,110000,Bachelors,1 (11) 500 555-0181
Desiree,Dominguez,1959-06-17,F,desiree9@adventure-works.com,110000,Partial College,1 (11) 500 555-0133
Casey,Yuan,1957-09-21,F,casey7@adventure-works.com,90000,High School,1 (11) 500 555-0184
Bryant,Garcia,1974-10-20,M,bryant14@adventure-works.com,110000,Partial College,1 (11) 500 555-0115
Taylor,Cox,1956-03-17,F,taylor13@adventure-works.com,160000,Partial College,1 (11) 500 555-0125
Jenny,Nara,1955-04-13,F,jenny39@adventure-works.com,130000,High School,1 (11) 500 555-0164
Janet,Munoz,1953-11-14,F,janet12@adventure-works.com,90000,High School,1 (11) 500 555-0148
Sergio,Weber,1953-03-26,M,sergio4@adventure-works.com,80000,Partial High School,1 (11) 500 555-0178
Erika,Gomez,1952-12-09,F,erika0@adventure-works.com,90000,Partial High School,1 (11) 500 555-0155
Joseph,Harris,1953-05-13,M,joseph20@adventure-works.com,90000,Partial High School,1 (11) 500 555-0116
Grace,Griffin,1981-11-19,F,grace67@adventure-works.com,60000,Bachelors,1 (11) 500 555-0170
Tina,Mehta,1981-10-26,F,tina15@adventure-works.com,70000,Bachelors,1 (11) 500 555-0192
Kari,Kim,1980-01-18,F,kari3@adventure-works.com,70000,Bachelors,1 (11) 500 555-0136
Bethany,Chander,1980-02-09,F,bethany19@adventure-works.com,70000,Bachelors,1 (11) 500 555-0179
Alvin,Hu,1980-08-01,M,alvin19@adventure-works.com,80000,Bachelors,1 (11) 500 555-0144
Brett,Mehta,1981-05-11,M,brett13@adventure-works.com,130000,High School,1 (11) 500 555-0187
Ruben,Muñoz,1980-05-08,M,ruben30@adventure-works.com,70000,Bachelors,1 (11) 500 555-0142
Erika,Rubio,1979-05-05,F,erika18@adventure-works.com,80000,Bachelors,1 (11) 500 555-0159
Melinda,Navarro,1979-10-20,F,melinda5@adventure-works.com,80000,Bachelors,1 (11) 500 555-0145
Ross,Sanz,1979-10-19,M,ross38@adventure-works.com,100000,High School,1 (11) 500 555-0147
Jaime,Gutierrez,1978-11-18,F,jaime12@adventure-works.com,90000,Bachelors,1 (11) 500 555-0173
Bianca,Liu,1978-10-03,F,bianca3@adventure-works.com,100000,High School,1 (11) 500 555-0179
Melvin,Chande,1983-10-04,M,melvin13@adventure-works.com,90000,Bachelors,1 (11) 500 555-0121
Victor,Jimenez,1977-09-22,M,victor7@adventure-works.com,90000,Bachelors,1 (11) 500 555-0176
Laura,Lin,1977-07-18,F,laura14@adventure-works.com,110000,High School,1 (11) 500 555-0151
Alejandro,Huang,1977-05-15,M,alejandro8@adventure-works.com,90000,Bachelors,1 (11) 500 555-0112
Louis,Luo,1976-08-18,M,louis23@adventure-works.com,90000,Bachelors,1 (11) 500 555-0185
Arturo,Zheng,1975-04-06,M,arturo21@adventure-works.com,170000,Graduate Degree,1 (11) 500 555-0154
Edwin,Raji,1978-10-14,M,edwin44@adventure-works.com,10000,Partial High School,1 (11) 500 555-0143
Jay,Suarez,1979-03-25,M,jay49@adventure-works.com,20000,Partial High School,1 (11) 500 555-0195
Latasha,Suarez,1979-03-25,F,latasha19@adventure-works.com,30000,Partial College,1 (11) 500 555-0180
Grace,Henderson,1986-01-30,F,grace52@adventure-works.com,20000,Partial High School,1 (11) 500 555-0164
Cesar,Subram,1984-04-07,M,cesar12@adventure-works.com,30000,High School,1 (11) 500 555-0118
Erika,Navarro,1980-05-16,F,erika7@adventure-works.com,40000,Bachelors,1 (11) 500 555-0145
Tristan,Hughes,1984-06-21,M,tristan12@adventure-works.com,30000,High School,1 (11) 500 555-0121
Colleen,Ma,1984-03-07,F,colleen16@adventure-works.com,40000,Bachelors,1 (11) 500 555-0160
Erica,Hu,1978-11-20,F,erica19@adventure-works.com,40000,Bachelors,1 (11) 500 555-0117
Donald,Chandra,1978-02-04,M,donald4@adventure-works.com,40000,Partial College,1 (11) 500 555-0191
Deborah,Goel,1976-09-03,F,deborah21@adventure-works.com,20000,Partial High School,1 (11) 500 555-0168
Andre,Perez,1982-04-02,M,andre20@adventure-works.com,20000,Partial High School,1 (11) 500 555-0112
Terrence,Chander,1982-11-15,M,terrence16@adventure-works.com,30000,High School,1 (11) 500 555-0155
Dawn,Wu,1976-05-31,F,dawn8@adventure-works.com,40000,Partial College,1 (11) 500 555-0139
Jimmy,Gutierrez,1976-01-25,M,jimmy14@adventure-works.com,40000,Partial College,1 (11) 500 555-0112
Gary,Ortega,1976-04-15,M,gary31@adventure-works.com,40000,Partial College,1 (11) 500 555-0197
Katrina,Nath,1981-11-22,F,katrina17@adventure-works.com,40000,Partial College,1 (11) 500 555-0154
Pedro,Vance,1980-05-13,M,pedro4@adventure-works.com,40000,Partial College,149-555-0132
Jared,Peterson,1980-09-03,M,jared8@adventure-works.com,40000,Partial College,879-555-0159
Dennis,Wu,1936-04-11,M,dennis8@adventure-works.com,50000,Graduate Degree,724-555-0194
Jasmine,Powell,1972-01-04,F,jasmine48@adventure-works.com,60000,Graduate Degree,847-555-0156
Nicholas,Brown,1971-11-14,M,nicholas6@adventure-works.com,60000,Graduate Degree,883-555-0144
Elizabeth,Wilson,1972-01-04,F,elizabeth11@adventure-works.com,60000,Graduate Degree,469-555-0110
Seth,Roberts,1959-01-10,M,seth40@adventure-works.com,30000,Bachelors,199-555-0147
Caleb,Perry,1964-06-10,M,caleb4@adventure-works.com,30000,Bachelors,786-555-0137
Shannon,Huang,1959-08-25,F,shannon6@adventure-works.com,30000,High School,458-555-0116
Katherine,Bryant,1959-12-18,F,katherine44@adventure-works.com,40000,Partial College,802-555-0135
Ariana,Peterson,1977-12-01,F,ariana4@adventure-works.com,40000,Partial College,298-555-0145
Lucas,Taylor,1962-02-07,M,lucas22@adventure-works.com,40000,Partial College,149-555-0146
Joan,Washington,1968-08-15,F,joan7@adventure-works.com,40000,Partial College,732-555-0144
Nina,Yuan,1962-07-07,F,nina7@adventure-works.com,40000,Partial College,568-555-0198
Ebony,Gill,1968-07-17,F,ebony35@adventure-works.com,40000,Partial College,327-555-0157
Cameron,Lewis,1964-05-12,M,cameron39@adventure-works.com,60000,Graduate Degree,199-555-0180
Logan,Chow,1969-04-13,M,logan25@adventure-works.com,60000,Graduate Degree,545-555-0121
Dakota,Ross,1963-09-21,M,dakota3@adventure-works.com,60000,Graduate Degree,186-555-0170
Nicole,Taylor,1965-02-24,F,nicole9@adventure-works.com,60000,Graduate Degree,217-555-0170
Justin,Washington,1970-08-18,M,justin10@adventure-works.com,60000,Graduate Degree,701-555-0175
Alberto,Navarro,1970-01-24,M,alberto11@adventure-works.com,60000,Graduate Degree,535-555-0131
Aidan,Ross,1964-10-09,M,aidan4@adventure-works.com,60000,Graduate Degree,154-555-0143
Sheena,Chande,1973-08-16,F,sheena13@adventure-works.com,20000,Partial College,1 (11) 500 555-0178
Joel,Garcia,1979-05-04,M,joel14@adventure-works.com,30000,Bachelors,1 (11) 500 555-0159
Christine,Chande,1973-09-11,F,christine10@adventure-works.com,30000,Bachelors,1 (11) 500 555-0179
